City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
19,Monte Alegre,BR,86.79,broken clouds,-2.0078,-54.0692,Hotel Shekinah
24,Umm Lajj,SA,83.37,clear sky,25.0213,37.2685,Moon light Furnished Units
26,Ada,US,75.92,broken clouds,43.4166,-116.1262,
28,Bandar-E Lengeh,IR,86.81,clear sky,26.5579,54.8807,کافی نت پارس
33,Kavieng,PG,82.81,broken clouds,-2.5744,150.7967,Nusa Island Retreat
40,Atuona,PF,76.51,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
44,Praya,CV,78.57,scattered clouds,14.9215,-23.5087,LT Aparthotel
46,Bintulu,MY,77.18,overcast clouds,3.1667,113.0333,900 Boutique INN
47,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
50,Kushima,JP,77.43,overcast clouds,31.4583,131.2333,Hanaoka
52,Ternate,ID,80.67,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
55,Laguna,US,77.61,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
57,Kapaa,US,85.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Warri,NG,75.85,overcast clouds,5.5167,5.75,GT Guesthouse
63,Kavaratti,IN,80.29,overcast clouds,10.5669,72.642,Green leaf
65,Najran,SA,79.34,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
71,Kamaishi,JP,75.99,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
74,Waingapu,ID,78.35,few clouds,-9.6567,120.2641,Pondok Wisata Elim
78,San Policarpo,PH,79.81,moderate rain,12.1791,125.5072,Agapita M. Nicart
82,Augusto Correa,BR,76.51,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
83,Kunya,NG,76.86,light rain,12.2233,8.5325,
84,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
89,Mangrol,IN,80.46,clear sky,21.1167,70.1167,Hotel The Royal Honours
90,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
93,Nizwa,OM,81.21,clear sky,22.9333,57.5333,Orient Apartments
95,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
98,Phulpur,IN,78.75,broken clouds,25.55,82.1,Ramnath Guest House
100,Westport,US,79.75,clear sky,41.1415,-73.3579,The Westport Inn
