City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,35.69,60,100,4.52,overcast clouds
1,Albany,US,42.6001,-73.9662,73.51,87,96,5.99,heavy intensity rain
2,Klaksvik,FO,62.2266,-6.589,41.92,70,93,7.96,overcast clouds
3,Port Elizabeth,ZA,-33.918,25.5701,53.31,96,100,1.99,light rain
4,Ushuaia,AR,-54.8,-68.3,33.44,88,8,4.09,clear sky
5,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,49,12.53,light rain
6,Puerto Ayora,EC,-0.7393,-90.3518,69.55,85,77,4.0,broken clouds
7,Zwedru,LR,6.0667,-8.1281,70.21,98,36,3.51,scattered clouds
8,Preobrazheniye,RU,42.9019,133.9064,59.76,69,98,7.09,overcast clouds
9,Talakan,RU,50.3167,130.3667,35.82,81,97,12.97,overcast clouds
10,Vaini,TO,-21.2,-175.2,74.26,80,85,21.74,overcast clouds
11,Chuy,UY,-33.6971,-53.4616,58.05,80,100,9.98,overcast clouds
12,Hithadhoo,MV,-0.6,73.0833,81.52,74,98,8.01,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,52.09,69,100,2.84,overcast clouds
14,Lebu,CL,-37.6167,-73.65,45.1,69,6,7.43,clear sky
15,Ponta Do Sol,PT,32.6667,-17.1,72.23,94,74,3.89,broken clouds
16,Thompson,CA,55.7435,-97.8558,54.55,84,100,2.68,overcast clouds
17,Zelenogorskiy,RU,55.0333,87.0,37.81,84,38,2.48,scattered clouds
18,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,11.5,scattered clouds
19,Monte Alegre,BR,-2.0078,-54.0692,86.79,45,80,4.05,broken clouds
20,Iqaluit,CA,63.7506,-68.5145,43.7,65,7,15.01,clear sky
21,Carnarvon,AU,-24.8667,113.6333,65.19,60,17,21.45,few clouds
22,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.98,74,1,9.31,clear sky
23,Yambio,SS,4.5721,28.3955,67.08,96,89,2.91,overcast clouds
24,Umm Lajj,SA,25.0213,37.2685,83.37,56,2,8.93,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,6.91,clear sky
26,Ada,US,43.4166,-116.1262,75.92,41,81,13.0,broken clouds
27,Port Hardy,CA,50.6996,-127.4199,58.57,72,53,14.7,broken clouds
28,Bandar-E Lengeh,IR,26.5579,54.8807,86.81,74,0,16.13,clear sky
29,Nome,US,64.5011,-165.4064,45.16,93,100,17.25,light rain
