City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shingu,JP,2022-09-15 04:52:12,33.7333,135.9833,80.78,68,90,12.37
1,Castro,BR,2022-09-15 04:45:01,-24.7911,-50.0119,54.25,98,99,4.85
2,Ayan,RU,2022-09-15 04:52:13,56.45,138.1667,51.53,54,2,19.15
3,Vaini,TO,2022-09-15 04:44:57,-21.2,-175.2,80.76,78,75,6.91
4,Busselton,AU,2022-09-15 04:46:15,-33.65,115.3333,61.12,64,68,16.2
5,Contamana,PE,2022-09-15 04:52:14,-7.3333,-75.0167,75.09,76,59,1.9
6,Poum,NC,2022-09-15 04:46:25,-20.2333,164.0167,73.72,73,18,18.19
7,Sakaiminato,JP,2022-09-15 04:52:14,35.55,133.2333,84.13,74,75,14.97
8,Rikitea,PF,2022-09-15 04:46:10,-23.1203,-134.9692,70.63,73,9,13.22
9,Barrow,US,2022-09-15 04:45:09,71.2906,-156.7887,35.62,87,100,25.32
10,Hobart,AU,2022-09-15 04:46:23,-42.8794,147.3294,58.86,58,75,5.75
11,Qaqortoq,GL,2022-09-15 04:50:15,60.7167,-46.0333,46.71,70,12,2.77
12,Port Hardy,CA,2022-09-15 04:42:16,50.6996,-127.4199,51.8,93,75,3.44
13,Yellowknife,CA,2022-09-15 04:45:39,62.456,-114.3525,50.56,71,20,5.75
14,Jamestown,US,2022-09-15 04:44:58,42.097,-79.2353,60.71,82,100,6.91
15,Port Alfred,ZA,2022-09-15 04:44:53,-33.5906,26.891,60.19,86,9,3.0
16,Andenes,NO,2022-09-15 04:52:17,69.3143,16.1194,48.18,76,0,14.97
17,Sal Rei,CV,2022-09-15 04:52:17,16.1833,-22.9167,80.17,84,95,13.42
18,Arraial Do Cabo,BR,2022-09-15 04:47:40,-22.9661,-42.0278,68.11,93,78,7.72
19,Thompson,CA,2022-09-15 04:41:37,55.7435,-97.8558,50.16,76,100,2.3
20,New Norfolk,AU,2022-09-15 04:52:18,-42.7826,147.0587,58.5,58,100,1.01
21,Bosaso,SO,2022-09-15 04:52:18,11.2842,49.1816,94.98,36,0,12.66
22,Port Moresby,PG,2022-09-15 04:47:38,-9.4431,147.1797,90.82,58,40,11.5
23,Kasama,ZM,2022-09-15 04:52:19,-10.2129,31.1808,60.96,58,33,6.22
24,Lebu,CL,2022-09-15 04:45:03,-37.6167,-73.65,49.98,85,100,6.49
25,Helsinki,FI,2022-09-15 04:50:21,60.1695,24.9355,55.96,89,40,9.22
26,Hermanus,ZA,2022-09-15 04:44:57,-34.4187,19.2345,56.16,79,59,3.71
27,Yenagoa,NG,2022-09-15 04:52:20,4.9247,6.2642,74.16,96,100,3.2
28,Kaitangata,NZ,2022-09-15 04:52:20,-46.2817,169.8464,49.57,62,76,18.5
29,Jos,NG,2022-09-15 04:52:21,9.9167,8.9,63.79,89,74,4.32
30,Maceio,BR,2022-09-15 04:52:21,-9.6658,-35.7353,72.84,94,75,3.44
31,Salalah,OM,2022-09-15 04:52:21,17.0151,54.0924,78.51,82,95,5.93
